keys,en
COMMON_NEW_GAME,New Game
COMMON_OPTIONS,Options
COMMON_QUIT,Quit
COMMON_BACK,Back
COMMON_RESUME,Resume
COMMON_SETTINGS,Settings
COMMON_QUIT_TO_DESKTOP,Quit to Desktop
COMMON_DASH,—
CLASS_HUMAN,Human
CLASS_CYBORG,Cyborg
SPEC_NONE,Unspecialized
SPEC_HUMAN_SURVIVALIST,Survivalist
SPEC_HUMAN_GENTLEMAN,Gentleman-Lady
SPEC_HUMAN_ENCULTED,Enculted
SPEC_CYBORG_FORGED,Forged
SPEC_CYBORG_AUTOMATON,Automaton
SPEC_CYBORG_POLYMATH,Polymath
STARTUP_TITLE,Choose Your Class
STARTUP_PICK_HUMAN,Human
STARTUP_PICK_CYBORG,Cyborg
STARTUP_PICK_HUMAN_SURVIVALIST,Human / Survivalist
STARTUP_PICK_HUMAN_GENTLEMAN,Human / Gentleman-Lady
STARTUP_PICK_HUMAN_ENCULTED,Human / Enculted
STARTUP_PICK_CYBORG_FORGED,Cyborg / Forged
STARTUP_PICK_CYBORG_AUTOMATON,Cyborg / Automaton
STARTUP_PICK_CYBORG_POLYMATH,Cyborg / Polymath
MENU_TITLE,Menu
MENU_SETTINGS_TITLE,Settings
MENU_SETTINGS_ACCESSIBILITY,Accessibility
MENU_SETTINGS_DISPLAY,Display
MENU_SETTINGS_WINDOW_MODE,Window Mode
MENU_SETTINGS_RESOLUTION,Resolution
WINDOW_MODE_WINDOWED,Windowed
WINDOW_MODE_BORDERLESS,Borderless Fullscreen
WINDOW_MODE_EXCLUSIVE,Exclusive Fullscreen
CHARACTER_PANEL_TITLE,Character
CHARACTER_PANEL_NAME,Name
CHARACTER_PANEL_OPERATOR,Operator
CHARACTER_PANEL_CLASS,Class
CHARACTER_PANEL_SPEC,Spec
CHARACTER_PANEL_LEVEL,Level
CHARACTER_PANEL_HEALTH,Health
CHARACTER_PANEL_RESOURCE,Resource
CHARACTER_PANEL_MORALITY,Morality
CHARACTER_PANEL_INVENTORY,Inventory
EQUIP_HEAD,Head
EQUIP_AMULET,Amulet
EQUIP_WEAPON,Weapon
EQUIP_CHEST,Chest
EQUIP_OFFHAND,Off-hand
EQUIP_GLOVES,Gloves
EQUIP_BELT,Belt
EQUIP_RING,Ring
EQUIP_BOOTS,Boots
DEBUG_TITLE,Debug  [F3]
DEBUG_GOD_MODE,God Mode
DEBUG_INFINITE_RESOURCE,Infinite Resource
DEBUG_ONESHOT_ENEMIES,One-shot Enemies
DEBUG_DISABLE_ENEMIES,Disable Enemies
DEBUG_SHOW_TELEGRAPHS,Show Attack Telegraphs
DEBUG_SHOW_OVERLAY,Show Overlay
DEBUG_START_POS,Start pos:
DEBUG_START_CR,Start cr:
HUD_HOTKEY_HINTS,(F1) +25  (F2) Clear  (F3) Debug
HUD_BANNER_DIED,You died
HUD_CREDITS_FORMAT,%d cr
HUD_DEBUG_OVERLAY_FORMAT,"FPS: %d  (%.1f ms)\nEnemies: %d\nCorpses: %d\nPickups: %d\nStructures: %d\nTotal nodes: %d"
PICK_LABEL_FORMAT,%s / %s
